,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
19623,0.0799,2020,0.7859999999999999,['Tate McRae'],0.642,169266,0.374,0,45bE4HXI0AwGZXfZtMp8JR,0.0,4,0.0906,-9.386,1,you broke me first,95,2020-04-17,0.0545,124.099
19407,0.557,2019,0.122,['Harry Styles'],0.5479999999999999,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,Watermelon Sugar,94,2019-12-13,0.0465,95.39
19613,0.471,2020,0.256,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.799,195429,0.66,1,02kDW379Yfd5PzW5A6vuGt,0.0,1,0.111,-6.153,0,Lemonade,94,2020-08-14,0.079,140.04
19655,0.905,2020,0.168,"['Joel Corry', 'MNEK']",0.7340000000000001,166028,0.8740000000000001,0,6cx06DFPPHchuUAcTxznu9,1.14e-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),94,2020-07-03,0.0662,122.953
19720,0.835,2020,0.0337,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",0.7929999999999999,247308,0.7709999999999999,0,35UUpTmrcFXNIVIN26ujXl,1.51e-06,5,0.284,-3.417,1,Relación - Remix,94,2020-09-04,0.0959,171.94299999999996
19609,0.522,2020,0.244,"['Drake', 'Lil Durk']",0.7609999999999999,261493,0.518,1,2SAqBLGA283SUiwJ3xOUVI,3.47e-05,0,0.107,-8.871,1,Laugh Now Cry Later (feat. Lil Durk),93,2020-08-14,0.134,133.976
19619,0.27,2020,0.584,['Conan Gray'],0.357,198040,0.425,0,4xqrdfXkTW4T0RauPLv3WA,0.0,5,0.322,-7.301,1,Heather,93,2020-03-20,0.0333,102.078
19621,0.151,2020,0.0563,['Ritt Momney'],0.399,210463,0.491,0,6AGOKlMZWLCaEJGnaROtF9,0.00089,6,0.11,-10.778,0,Put Your Records On,93,2020-04-24,0.0538,91.066
19624,0.716,2020,0.218,['Billie Eilish'],0.889,174321,0.34,0,54bFM56PmE4YLRnqpW6Tha,0.13,11,0.055,-7.773,0,Therefore I Am,93,2020-11-12,0.0697,94.009
19426,0.664,2019,0.223,"['Topic', 'A7S']",0.789,166794,0.72,0,3H7ihDc1dqLriiWXwsc2po,0.0,8,0.129,-5.652,0,Breaking Me,92,2019-12-19,0.218,122.031
19614,0.485,2020,0.237,['Ariana Grande'],0.83,173711,0.585,1,6Im9k8u9iIzKMrmV7BWtlF,0.0,0,0.248,-6.476,1,34+35,92,2020-10-30,0.094,109.978
19633,0.132,2020,0.131,['Shawn Mendes'],0.333,172693,0.637,0,5KCbr5ndeby4y4ggthdiAb,1.8e-05,1,0.149,-4.904,0,Wonder,92,2020-10-02,0.0581,139.898
19670,0.753,2020,0.0332,['Jason Derulo'],0.789,190306,0.711,0,59qrUpoplZxbIZxk6X0Bm3,0.0,2,0.0876,-4.248,1,Take You Dancing,92,2020-07-22,0.041,112.985
19672,0.393,2020,0.00536,"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",0.5710000000000001,232253,0.693,0,0EhpEsp4L0oRGM0vmeaN5e,0.0,6,0.173,-8.234,0,UN DIA (ONE DAY) (Feat. Tainy),92,2020-07-24,0.0545,168.169
19741,0.545,2020,0.189,['Maluma'],0.787,200198,0.728,0,4uoR6qeWeuL4Qeu2qJzkuG,2.29e-05,6,0.0629,-3.455,0,Hawái,92,2020-07-29,0.389,180.06599999999997
38426,0.963,2020,0.0907,"['Lele Pons', 'Guaynaa']",0.905,155825,0.6859999999999999,0,11EnQRgRMJwMAesfkB5pnu,0.0,0,0.266,-3.152,1,Se Te Nota (with Guaynaa),92,2020-09-02,0.0664,103.013
38427,0.68,2020,0.269,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",0.845,219048,0.677,0,4HYDUMY0xSpeBr0AMY9cUz,0.000917,11,0.108,-4.798,0,La Curiosidad,92,2020-06-12,0.136,90.01299999999998
38452,0.503,2020,0.18,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",0.736,216107,0.632,0,7ndTONDDRFGiPnnhOzOXxq,0.0,11,0.349,-4.939,0,La Nota,92,2020-10-08,0.0648,92.03
38538,0.623,2020,0.0882,['Farruko'],0.659,180520,0.701,0,15OjBeqNX3bShsGYQbteRv,0.0,9,0.0866,-4.107,1,La Tóxica,92,2020-07-24,0.1639999999999999,91.97
57207,0.95,2020,0.1669999999999999,['Camilo'],0.8240000000000001,187427,0.457,0,73nAK3HgQK8dak83Y2WQ8F,0.0,6,0.041,-5.428,1,Vida de Rico,92,2020-09-21,0.0543,87.977
19413,0.446,2019,0.7509999999999999,['Lewis Capaldi'],0.501,182161,0.405,0,7qEHsqek33rTcFNT9PFqLf,0.0,1,0.105,-5.678999999999999,1,Someone You Loved,91,2019-05-17,0.0319,109.891
19628,0.45,2020,0.057,"['DJ Khaled', 'Drake']",0.8,200221,0.56,1,6EDO9iiTtwNv6waLwa1UUq,0.0,5,0.134,-4.8180000000000005,0,POPSTAR (feat. Drake),91,2020-07-17,0.261,163.071
19643,0.259,2020,0.00115,['Miley Cyrus'],0.705,223279,0.8140000000000001,0,27ycaQnQAxaPiyeg3nr2aB,0.00312,4,0.203,-5.466,0,Midnight Sky,91,2020-08-14,0.0346,110.0
19661,0.7609999999999999,2020,0.234,"['Jawsh 685', 'Jason Derulo']",0.767,171375,0.481,1,1xQ6trAsedVPCdbtDAmk0c,0.0,0,0.269,-8.52,0,Savage Love (Laxed - Siren Beat),91,2020-06-11,0.0803,150.076
19804,0.531,2020,0.512,['KAROL G'],0.718,189653,0.7120000000000001,0,7x4ASXYEKfQBCewcZhK776,0.00121,11,0.104,-4.3660000000000005,1,"Ay, DiOs Mío!",91,2020-07-10,0.174,180.03400000000005
38435,0.838,2020,0.212,['KAROL G'],0.863,178947,0.6659999999999999,1,7vrJn5hDSXRmdXoR30KgF1,0.000493,1,0.103,-4.158,0,BICHOTA,91,2020-10-23,0.152,163.908
38492,0.906,2020,0.139,"['Ozuna', 'J Balvin', 'Chencho Corleone']",0.7140000000000001,230693,0.7609999999999999,0,5y7DaS3jAc9eZzcSOoUIwU,0.00035,5,0.241,-4.596,0,Una Locura,91,2020-09-04,0.0427,168.02200000000005
57244,0.884,2020,0.422,"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",0.691,248345,0.7390000000000001,0,4RJz8NfIe09gpKMiRUWKhJ,3.95e-06,5,0.11,-3.09,0,Parce (feat. Justin Quiles),91,2020-08-21,0.229,83.897
57360,0.89,2020,0.0165,['Justin Quiles'],0.807,185840,0.6559999999999999,1,3GtnId3Cm1Xa6joCj08nzW,0.0,3,0.0693,-4.395,0,Jeans,91,2020-08-14,0.105,83.943
19406,0.6409999999999999,2019,0.598,['Clairo'],0.7440000000000001,188387,0.619,0,7B3z0ySL9Rr0XvZEAjWZzM,0.00372,0,0.231,-9.805,1,Sofia,90,2019-08-02,0.039,112.997
19617,0.0804,2020,0.00336,['Juice WRLD'],0.65,194621,0.613,1,2U5WueTLIK5WJLD7mvDODv,0.0,9,0.267,-6.13,0,Wishing Well,90,2020-07-10,0.128,149.972
19622,0.535,2020,0.0172,"['Juice WRLD', 'Marshmello']",0.625,205485,0.8140000000000001,1,2Y0wPrPQBrGhoLn14xRYCG,0.0,0,0.158,-5.181,1,Come & Go (with Marshmello),90,2020-07-10,0.0657,144.991
19636,0.269,2020,0.487,"['Pop Smoke', 'Lil Tjay']",0.48,213333,0.602,1,5rZlwNFl01HqLWBQGryKSm,0.0,10,0.0848,-6.335,0,Mood Swings (feat. Lil Tjay),90,2020-07-03,0.368,179.798
19638,0.774,2020,0.235,['Ashnikko'],0.8340000000000001,146523,0.6629999999999999,1,0AUvWawuP0ibk4SQ3sIZjk,0.0,8,0.3720000000000001,-6.143,1,Daisy,90,2020-07-09,0.133,121.876
19639,0.462,2020,0.25,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.8,195429,0.6579999999999999,1,7hxHWCCAIIxFLCzvDgnQHX,0.0,1,0.111,-6.142,0,"Lemonade (feat. Gunna, Don Toliver & NAV)",90,2020-08-28,0.079,140.042
19645,0.348,2020,0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0.0,8,0.696,-8.765,0,death bed (coffee for your head),90,2020-02-08,0.135,144.026
19646,0.609,2020,0.105,"['Maluma', 'The Weeknd']",0.7659999999999999,200482,0.7879999999999999,0,0GzuHFG4Ql6DoyxFRnIk3F,5.81e-06,6,0.142,-3.128,0,Hawái - Remix,90,2020-11-05,0.312,179.984
19666,0.45,2020,0.00691,['BTS'],0.5660000000000001,207481,0.716,0,249gnXrbfmV8NG6jTEMSwD,0.0,1,0.37,-5.733,1,Life Goes On,90,2020-11-20,0.0424,81.068
38572,0.7909999999999999,2020,0.31,"['Wisin', 'Myke Towers', 'Los Legendarios']",0.823,213314,0.821,0,2bgcUk2A3jjKbCJ7KPquTi,4.28e-06,8,0.143,-3.402,0,Mi Niña,90,2020-09-23,0.166,99.999
57326,0.698,2020,0.0413,"['Rauw Alejandro', 'Camilo']",0.848,222680,0.637,0,4ZRrLHqzhGRXYj2qcB4s5S,0.0,9,0.0521,-5.1320000000000014,1,Tattoo - Remix with Camilo,90,2020-07-09,0.156,96.988
11006,0.789,1977,0.0644,['Fleetwood Mac'],0.828,257800,0.4920000000000001,0,0ofHAoxe9vBkTCp2UQIavz,0.00428,0,0.128,-9.744,1,Dreams - 2004 Remaster,89,1977-02-04,0.0276,120.151
19207,0.218,2018,0.349,['Juice WRLD'],0.511,239836,0.5660000000000001,1,285pBltuF7vW8TeWk8hdRR,0.0,6,0.34,-7.23,0,Lucid Dreams,89,2018-12-10,0.2,83.90299999999998
19210,0.12,2018,0.934,"['Billie Eilish', 'Khalid']",0.351,200186,0.296,0,0u2P5u6lvoDfwTYjAADbn4,0.0,4,0.095,-10.109,0,lovely (with Khalid),89,2018-04-19,0.0333,115.284
19409,0.5529999999999999,2019,0.192,['Post Malone'],0.695,215280,0.762,0,21jGcNKet2qwijlDFuPiPb,0.00244,0,0.0863,-3.497,1,Circles,89,2019-09-06,0.0395,120.042
19410,0.642,2019,0.104,['Roddy Ricch'],0.8959999999999999,196653,0.586,1,0nbXyq5TXYPCO7pr3N8S4I,0.0,10,0.79,-6.687,0,The Box,89,2019-12-06,0.0559,116.971
19417,0.254,2019,0.21,['Harry Styles'],0.448,208907,0.838,0,45S5WTQEGOB1VHr1Q4FuPl,0.000131,4,0.131,-5.2570000000000014,0,Golden,89,2019-12-13,0.0557,139.863
19441,0.513,2019,0.6920000000000001,['Tones And I'],0.8240000000000001,209438,0.588,0,2XU0oxnq2qxCpomAAuJY8K,0.000104,6,0.149,-6.4,0,Dance Monkey,89,2019-10-17,0.0924,98.027
19443,0.575,2019,0.8370000000000001,['Maroon 5'],0.764,189486,0.32,0,2b8fOow8UzyDFAE27YhOZM,0.0,11,0.0822,-7.209,1,Memories,89,2019-09-20,0.0546,91.019
19630,0.173,2020,0.36,['Ariana Grande'],0.487,201882,0.534,0,3UoULw70kMsiVXxW0L3A33,0.0,0,0.1,-5.664,0,pov,89,2020-10-30,0.0555,131.798
19640,0.581,2020,0.316,"['Chris Brown', 'Young Thug']",0.755,176960,0.578,1,1IIKrJVP1C9N7iPtG6eOsK,0.0,0,0.25,-8.932,0,Go Crazy,89,2020-05-08,0.145,94.148
19641,0.915,2020,0.00883,"['Dua Lipa', 'DaBaby']",0.7020000000000001,203064,0.825,0,463CkQjx2Zk1yXoBuierM9,0.0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),89,2020-10-01,0.0601,102.977
19684,0.537,2020,0.223,"['Ariana Grande', 'Justin Bieber']",0.597,228482,0.45,0,4HBZA5flZLE435QTztThqH,0.0,8,0.382,-6.658,1,Stuck with U (with Justin Bieber),89,2020-05-08,0.0418,178.765
38535,0.63,2020,0.8190000000000001,['Jerry Di'],0.8540000000000001,197587,0.525,0,6fmQjRuo7XvRFCK2qex5hQ,0.0,1,0.146,-4.426,1,Mi Cuarto,89,2020-04-03,0.214,97.054
57241,0.5579999999999999,2020,0.185,['Maluma'],0.7829999999999999,199112,0.727,0,1yoMvmasuxZfqHEipJhRbp,2.46e-05,6,0.0626,-3.454,0,Hawái,89,2020-08-21,0.389,180.067
75095,0.7070000000000001,2020,0.0847,"['Sebastian Yatra', 'Guaynaa']",0.574,183240,0.8909999999999999,0,21N4Buj4xsyLb218lYle61,0.0,0,0.16,-3.665,0,Chica Ideal,89,2020-10-16,0.157,100.978
14406,0.35,1994,0.1639999999999999,['Mariah Carey'],0.336,241107,0.627,0,0bYg9bo50gSsH3LtXe2SQn,0.0,7,0.0708,-7.462999999999999,1,All I Want for Christmas Is You,88,1994-11-01,0.0384,150.273
18806,0.225,2016,0.701,['James Arthur'],0.311,208827,0.485,0,55Am8neGJkdj2ADaM3aw5H,0.0,6,0.0726,-5.726,0,Train Wreck,88,2016-10-28,0.0365,77.355
19408,0.578,2019,0.328,['Juice WRLD'],0.685,240051,0.6920000000000001,1,6Hj9jySrnFppAI0sEMCZpJ,0.0,2,0.153,-5.122000000000001,1,Robbery,88,2019-03-08,0.0457,159.966
19415,0.0605,2019,0.0546,['Travis Scott'],0.598,175721,0.4270000000000001,1,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7,0.21,-8.764,0,HIGHEST IN THE ROOM,88,2019-10-04,0.0317,76.469
19421,0.0592,2019,0.8390000000000001,['Harry Styles'],0.5670000000000001,240133,0.267,0,1ZMiCix7XSAbfAJlEZWMCp,1.46e-06,4,0.089,-6.502000000000002,1,Falling,88,2019-12-13,0.0299,110.011
19425,0.569,2019,0.0237,['Harry Styles'],0.6759999999999999,207133,0.7709999999999999,0,3jjujdWJ72nww5eGnfs2E7,7.000000000000003e-06,8,0.102,-3.675,1,Adore You,88,2019-12-13,0.0483,99.048
19429,0.562,2019,0.328,['Billie Eilish'],0.701,194088,0.425,0,2Fxmhks0bxGSBdJ92vM42m,0.13,7,0.1,-10.965,1,bad guy,88,2019-03-29,0.375,135.128
19446,0.33,2019,0.0686,"['Surf Mesa', 'Emilee']",0.674,176547,0.774,0,62aP9fBQKYKxi7PDXwcUAS,0.00188,11,0.393,-7.567,0,ily (i love you baby) (feat. Emilee),88,2019-11-26,0.0892,112.05
19508,0.574,2019,0.295,"['KAROL G', 'Nicki Minaj']",0.8029999999999999,200960,0.715,0,7k4t7uLgtOxPwTpFmtJNTY,0.000134,2,0.0574,-3.28,1,Tusa,88,2019-11-07,0.298,101.085
19625,0.775,2020,0.11,['Jack Harlow'],0.794,156498,0.7559999999999999,1,4DuUwzP4ALMqpquHU0ltAB,0.0,5,0.247,-7.16,0,Tyler Herro,88,2020-10-22,0.136,123.066
19626,0.835,2020,0.0631,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']",0.904,227478,0.723,1,2MbdDtCv5LUVjYy9RuGTgC,0.0,11,0.185,-5.224,0,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",88,2020-06-24,0.26,145.013
19635,0.298,2020,0.00473,"['Machine Gun Kelly', 'blackbear']",0.731,139461,0.675,1,7kDUspsoYfLkWnZR7qwHZl,0.0,5,0.141,-5.134,0,my ex's best friend (with blackbear),88,2020-09-25,0.0434,124.939
19637,0.6609999999999999,2020,0.0681,"['Ariana Grande', 'Doja Cat']",0.789,167990,0.742,1,5GkQIP5mWPi4KZLLXeuFTT,0.0,10,0.166,-5.664,0,motive (with Doja Cat),88,2020-10-30,0.0652,116.965
19692,0.715,2020,0.424,['salem ilese'],0.738,136839,0.621,0,7aGyRfJWtLqgJaZoG9lJhE,7.39e-06,0,0.6920000000000001,-7.313,1,Mad at Disney,88,2020-07-24,0.0486,113.968
19696,0.535,2020,0.758,['Fousheé'],0.711,141224,0.5920000000000001,1,6HlE9t71z9DjGi7KqSyEpA,0.0,4,0.156,-7.136,0,Deep End,88,2020-07-31,0.23,124.749
38570,0.946,2020,0.369,"['Clean Bandit', 'Mabel', '24kGoldn']",0.779,178374,0.705,0,27u7t9d7ZQoyjsCROHuZJ3,7.91e-06,0,0.124,-3.895,1,Tick Tock (feat. 24kGoldn),88,2020-08-21,0.0344,101.022
57379,0.72,2020,0.186,"['Ozuna', 'Camilo']",0.7340000000000001,224187,0.775,0,0JAZWvvqttGFm4UMDsPQXC,0.000542,8,0.123,-3.855,1,Despeinada,88,2020-09-04,0.0614,166.03900000000004
18206,0.398,2013,0.0495,['The Neighbourhood'],0.612,240400,0.807,0,2QjOHCTQ1Jl3zawyYOpxh6,0.0177,10,0.101,-2.81,1,Sweater Weather,87,2013-04-19,0.0336,124.053
18606,0.518,2015,0.00543,['BØRNS'],0.611,218107,0.797,0,2GiJYvgVaD2HtM8GqD9EgQ,0.00137,6,0.26,-7.627000000000002,0,Electric Love,87,2015-10-16,0.0533,120.041
19006,0.4370000000000001,2017,0.469,['XXXTENTACION'],0.872,119133,0.391,1,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0,0.297,-9.144,0,Jocelyn Flores,87,2017-08-25,0.242,134.02100000000002
19020,0.6659999999999999,2017,0.0622,['Imagine Dragons'],0.7759999999999999,204347,0.78,0,0pqnGHJpmpxLKifKRmU6WP,0.0,10,0.081,-4.374,0,Believer,87,2017-06-23,0.128,124.949
19206,0.203,2018,0.0769,['Juice WRLD'],0.6709999999999999,165820,0.529,1,4VXIryQMWpIdGgYR4TrjT1,0.000335,0,0.0856,-7.226,1,All Girls Are The Same,87,2018-12-10,0.307,161.989
19414,0.604,2019,0.866,"['JP Saxe', 'Julia Michaels']",0.464,208687,0.473,0,2kJwzbxV2ppxnQoYw4GLBZ,0.0,1,0.109,-10.086,1,If the World Was Ending - feat. Julia Michaels,87,2019-10-17,0.129,75.801
19423,0.457,2019,0.0522,['Arizona Zervas'],0.621,163636,0.601,1,696DnlkuDOXcMAnKlTgXXK,0.0,6,0.46,-5.6160000000000005,0,ROXANNE,87,2019-10-10,0.148,116.735
19427,0.243,2019,0.902,['Billie Eilish'],0.7040000000000001,245426,0.225,0,3ZCTVFBt2Brf31RLEnCkWJ,0.657,6,0.106,-14.454,0,everything i wanted,87,2019-11-13,0.0994,120.006
19442,0.327,2019,0.5920000000000001,['Ariana Grande'],0.778,178627,0.317,1,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,7 rings,87,2019-02-08,0.334,140.048
19535,0.884,2019,0.177,['Regard'],0.88,157606,0.7509999999999999,0,2tnVG71enUj33Ic2nFN6kZ,6.43e-05,7,0.106,-4.258,0,Ride It,87,2019-07-26,0.0874,117.948
19629,0.116,2020,0.345,['Polo G'],0.8320000000000001,132833,0.534,1,1VLtjHwRWOVJiE5Py7JxoQ,0.0,1,0.165,-7.813,0,Martin & Gina,87,2020-05-15,0.253,93.924
19634,0.322,2020,0.0469,"['Kane Brown', 'Swae Lee', 'Khalid']",0.727,191406,0.626,0,5f1joOtoMeyppIcJGZQvqJ,2.58e-05,7,0.126,-8.415,1,Be Like That - feat. Swae Lee & Khalid,87,2020-07-10,0.0726,86.97
19648,0.303,2020,0.232,['The Kid LAROI'],0.7190000000000001,126521,0.598,0,5psEZhQu6lukjhavJo4AbC,0.0,9,0.115,-6.254,1,SO DONE,87,2020-10-23,0.077,142.592
19650,0.286,2020,0.0221,"['Pop Smoke', '50 Cent', 'Roddy Ricch']",0.49,201600,0.618,1,1H7KnK26kc1YyellpbINEn,3.77e-06,1,0.259,-5.655,1,The Woo (feat. 50 Cent & Roddy Ricch),87,2020-07-03,0.104,99.7
19678,0.229,2020,0.0743,"['DJ Khaled', 'Drake']",0.695,218902,0.343,1,35RJhm1pEovTBwnNR0zWad,1.04e-06,5,0.107,-10.798,1,GREECE (feat. Drake),87,2020-07-16,0.0432,85.84
19733,0.556,2020,0.154,['Sam Smith'],0.653,213869,0.667,0,5hvwx5i67IwnCkjl9VHkNv,0.0,10,0.107,-6.763999999999999,0,Diamonds,87,2020-09-17,0.0423,104.181
19776,0.5489999999999999,2020,0.0676,"['Shawn Mendes', 'Justin Bieber']",0.652,178994,0.383,0,2Z8yfpFX0ZMavHkcIeHiO1,0.0,2,0.0828,-7.0760000000000005,0,Monster (Shawn Mendes & Justin Bieber),87,2020-11-20,0.0516,145.765
19777,0.457,2020,0.0078599999999999,['Ava Max'],0.637,162399,0.69,0,1InCpEliLCkWHOBdXW7XSx,0.0,1,0.124,-4.057,0,Kings & Queens,87,2020-09-18,0.0405,129.857
